SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,
1,Document,toaster,bread,sandwich,cafe,coffee,Starbucks,green straws,water,ice,pool,beach,Wilmington,blue sky,kite,field,football,practice,stand,band,water,,,,,,,2
,butter,0.21,0.77,0.77,1,0.37,0.24,N/A,0.14,0.14,0.06,0.06,0.07,0.01,N/A,-0.01,0.02,N/A,N/A,-0.03,0.34,0.210666667,0.1175,0.583333333,,,,
,peanuts,0.05,0.34,0.34,0.37,1,0.39,N/A,0.08,0.09,0.02,0.1,0,-0.02,N/A,-0.02,0.06,N/A,N/A,0.06,0.19,0.136666667,0.086363636,0.275,,,,
,walnuts,0.02,0.32,0.32,0.24,0.39,1,N/A,0.04,-0.01,-0.06,-0.01,-0.01,0.1,N/A,0.04,0.03,N/A,N/A,0.01,0.37,0.119333333,0.05,0.258,,,,
,Walmart,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,shopper,0.11,0.11,0.11,0.14,0.08,0.04,N/A,1,0.31,0.09,0.12,-0.06,-0.04,N/A,-0.01,0,N/A,N/A,0.04,0.05,0.072666667,0.055555556,0.098333333,,,,
,cashier,0.03,0.08,0.08,0.14,0.09,-0.01,N/A,0.31,1,0.06,0.07,0.02,0,N/A,-0.02,-0.01,N/A,N/A,-0.05,0.04,0.055333333,0.01375,0.102857143,,,,
,bellhop,0.02,0,0,0.06,0.02,-0.06,N/A,0.09,0.06,1,0.42,-0.03,0.05,N/A,-0.06,0.02,N/A,N/A,0.08,0,0.044666667,0.068571429,0.02375,,,,
,hotel,0.02,0.11,0.11,0.06,0.1,-0.01,N/A,0.12,0.07,0.42,1,-0.06,0.34,N/A,-0.03,0.06,N/A,N/A,0.1,0.13,0.102666667,0.09,0.111111111,,,,
,Tipton,0.03,0.02,0.02,0.07,0,-0.01,N/A,-0.06,0.02,-0.03,-0.06,1,-0.01,N/A,0.01,0.01,N/A,N/A,0.01,-0.04,-0.001333333,-0.004,0,,,,
,London,-0.01,0.07,0.07,0.01,-0.02,0.1,N/A,-0.04,0,0.05,0.34,-0.01,1,N/A,0.1,0.1,N/A,N/A,0.06,0.09,0.060666667,0.0875,0.050909091,,,,
,Mosby,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,Disney,0,-0.02,-0.02,-0.01,-0.02,0.04,N/A,-0.01,-0.02,-0.06,-0.03,0.01,0.1,N/A,1,0.11,N/A,N/A,0.04,0.02,0.008666667,0.056666667,-0.003333333,,,,
,Star Wars,-0.01,0.01,0.01,0.02,0.06,0.03,N/A,0,-0.01,0.02,0.06,0.01,0.1,N/A,0.11,1,N/A,N/A,0.02,0.01,0.029333333,0.015,0.031538462,,,,
,Wookiee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,R2D2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,Droid,0.01,-0.04,-0.04,-0.03,0.06,0.01,N/A,0.04,-0.05,0.08,0.1,0.01,0.06,N/A,0.04,0.02,N/A,N/A,1,0.02,0.019333333,0.02,0.019285714,,,,
,Apple,0.07,0.37,0.37,0.34,0.19,0.37,N/A,0.05,0.04,0,0.13,-0.04,0.09,N/A,0.02,0.01,N/A,N/A,0.02,1,0.135333333,,0.135333333,,,,
,,,,,,,,,,,,,,,,,,,,,,0.094083333,0.07403167,0.168984632,,,,
4,Document,toaster,bread,white,people,fingers,pen,blue,sky,clouds,thoughts,meditation,mantra,relaxation,eyes,head,brain,pink,majin buu,fighting,man,,,,,,,1
,toaster,1,0.21,0.01,0.09,0.05,0.02,0.02,0.01,0.03,0,0.05,N/A,-0.01,0.02,0.02,0,0.01,N/A,0,0.03,0.032941176,0.032941176,,0.216,0.142857143,0.133571429,
,bread,0.21,1,0.1,0.14,0.15,0.07,0.07,0.07,0.03,0.1,0.09,N/A,0.03,0.13,0.16,0.01,0.16,N/A,0.04,0.08,0.096470588,0.089375,0.21,,,,
,white,0.01,0.1,1,0.18,0.17,0.08,0.49,0.27,0.16,0.12,0.01,N/A,0.05,0.27,0.23,0.03,0.5,N/A,0.15,0.23,0.179411765,0.196,0.055,,,,
,people,0.09,0.14,0.18,1,0.12,0.1,0.14,0.15,0.1,0.25,0.17,N/A,0.11,0.16,0.17,0.07,0.11,N/A,0.21,0.21,0.145882353,0.147857143,0.136666667,,,,
,fingers,0.05,0.15,0.17,0.12,1,0.2,0.26,0.15,0.03,0.23,0.24,N/A,0.12,0.57,0.62,0.14,0.43,N/A,0.06,0.18,0.218823529,0.248461538,0.1225,,,,
,pen,0.02,0.07,0.08,0.1,0.2,1,0.12,0.06,0.01,0.32,0.09,N/A,0.02,0.2,0.16,0.02,0.19,N/A,0.05,0.11,0.107058824,0.1125,0.094,,,,
,blue,0.02,0.07,0.49,0.14,0.26,0.12,1,0.43,0.19,0.12,0.08,N/A,0.02,0.4,0.25,0.05,0.72,N/A,0.05,0.16,0.21,0.224545455,0.183333333,,,,
,sky,0.01,0.07,0.27,0.15,0.15,0.06,0.43,1,0.58,0.08,0.05,N/A,0.01,0.23,0.18,0,0.25,N/A,0.06,0.12,0.158823529,0.156,0.162857143,,,,
,clouds,0.03,0.03,0.16,0.1,0.03,0.01,0.19,0.58,1,0.04,0.02,N/A,0,0.12,0.09,0,0.1,N/A,0.04,0.05,0.093529412,0.051111111,0.14125,,,,
,thoughts,0,0.1,0.12,0.25,0.23,0.32,0.12,0.08,0.04,1,0.32,N/A,0.15,0.27,0.23,0.11,0.13,N/A,0.07,0.16,0.158823529,0.18,0.14,,,,
,meditation,0.05,0.09,0.01,0.17,0.24,0.09,0.08,0.05,0.02,0.32,1,N/A,0.3,0.13,0.16,0.3,0.06,N/A,0.01,0.12,0.129411765,0.154285714,0.112,,,,
,mantra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,relaxation,-0.01,0.03,0.05,0.11,0.12,0.02,0.02,0.01,0,0.15,0.3,N/A,1,0.06,0.08,0.16,0.05,N/A,0,0.02,0.068823529,0.061666667,0.072727273,,,,
,eyes,0.02,0.13,0.27,0.16,0.57,0.2,0.4,0.23,0.12,0.27,0.13,N/A,0.06,1,0.61,0.19,0.51,N/A,0.08,0.27,0.248235294,0.332,0.213333333,,,,
,head,0.02,0.16,0.23,0.17,0.62,0.16,0.25,0.18,0.09,0.23,0.16,N/A,0.08,0.61,1,0.13,0.38,N/A,0.11,0.29,0.227647059,0.2275,0.227692308,,,,
,brain,0,0.01,0.03,0.07,0.14,0.02,0.05,0,0,0.11,0.3,N/A,0.16,0.19,0.13,1,-0.01,N/A,0.02,0.07,0.075882353,0.026666667,0.086428571,,,,
,pink,0.01,0.16,0.5,0.11,0.43,0.19,0.72,0.25,0.1,0.13,0.06,N/A,0.05,0.51,0.38,-0.01,1,N/A,0.02,0.11,0.218823529,0.065,0.239333333,,,,
,majin buu,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
,fighting,0,0.04,0.15,0.21,0.06,0.05,0.05,0.06,0.04,0.07,0.01,N/A,0,0.08,0.11,0.02,0.02,N/A,1,0.15,0.065882353,0.15,0.060625,,,,
,man,0.03,0.08,0.23,0.21,0.18,0.11,0.16,0.12,0.05,0.16,0.12,N/A,0.02,0.27,0.29,0.07,0.11,N/A,0.15,1,0.138823529,,0.138823529,,,,
,,,,,,,,,,,,,,,,,,,,,,0.143071895,0.144465322,0.141109185,,,,
5,Document,toaster,toast,bread,butter,milk,cow,farm,animals,nature,outdoors,trees,gardening,leaves,green,kermit,muppets,kids,summer camp,museum,programs,,,,,,,1
,toaster,1,0.33,0.21,0.21,0.12,0.06,0.03,0,0.05,0.17,0.03,0.02,0.04,0.04,0.07,0.07,0.02,0.01,-0.01,0,0.077368421,0.077368421,,0.324736842,0.210555556,0.159411765,
