SN,,,,,,,,,,,,,,,,,,,,,,ALL,FUTURE,PAST,N-1,N-2,N-3,NAs
,spoon,0.45,0.26,0.38,0.19,0.07,0.32,0.05,1,0.37,0.06,0.15,0.03,0.01,0.19,0.47,0.22,0.17,0.4,0.15,0.15,0.215263158,0.1975,0.245714286,,,,
,knife,0.3,0.23,0.23,0.24,0.24,0.48,0.04,0.37,1,0.02,0.1,-0.02,-0.01,0.09,0.29,0.24,0.19,0.31,0.26,0.1,0.194736842,0.142727273,0.26625,,,,
,family,0.12,0.05,0.11,0.09,0.06,0.08,0,0.06,0.02,1,0.29,0.05,0.06,0.36,0.08,0.08,0.12,0.13,0.21,0.29,0.118947368,0.167,0.065555556,,,,
,happy,0.19,0.25,0.2,0.14,0.18,0.25,0.01,0.15,0.1,0.29,1,0.12,0.13,0.46,0.11,0.13,0.08,0.37,0.32,1,0.235789474,0.302222222,0.176,,,,
,mom,0.1,0.12,0.16,0.21,0.12,0.01,0,0.03,-0.02,0.05,0.12,1,0.94,0.16,0.26,0.03,0.04,0.06,0.03,0.12,0.133684211,0.205,0.081818182,,,,
,dad,0.06,0.1,0.12,0.19,0.07,0.03,-0.01,0.01,-0.01,0.06,0.13,0.94,1,0.1,0.2,0.02,0.02,0.02,0.04,0.13,0.116842105,0.075714286,0.140833333,,,,
,sister,0.12,0.14,0.27,0.21,0.09,0.16,0.01,0.19,0.09,0.36,0.46,0.16,0.1,1,0.14,0.07,0.04,0.2,0.29,0.46,0.187368421,0.2,0.181538462,,,,
,salad,0.38,0.32,0.26,0.1,0.03,0.11,-0.01,0.47,0.29,0.08,0.11,0.26,0.2,0.14,1,0.56,0.68,0.33,0.15,0.11,0.240526316,0.366,0.195714286,,,,
,fruit,0.11,0.47,0.05,0.02,0.01,0.17,0.04,0.22,0.24,0.08,0.13,0.03,0.02,0.07,0.56,1,0.79,0.27,0.2,0.13,0.19,0.3475,0.148,,,,
,vegetables,0.09,0.25,0.04,0.01,0,0.07,0,0.17,0.19,0.12,0.08,0.04,0.02,0.04,0.68,0.79,1,0.23,0.14,0.08,0.16,0.15,0.161875,,,,
,hungry,0.29,0.26,0.24,0.14,0.26,0.28,0.09,0.4,0.31,0.13,0.37,0.06,0.02,0.2,0.33,0.27,0.23,1,0.23,0.37,0.235789474,0.3,0.228235294,,,,
,full,0.18,0.26,0.34,0.18,0.11,0.28,0.08,0.15,0.26,0.21,0.32,0.03,0.04,0.29,0.15,0.2,0.14,0.23,1,0.32,0.198421053,0.32,0.191666667,,,,
,happy,0.19,0.25,0.2,0.14,0.18,0.25,0.01,0.15,0.1,0.29,1,0.12,0.13,0.46,0.11,0.13,0.08,0.37,0.32,1,0.235789474,,0.235789474,,,,
,,,,,,,,,,,,,,,,,,,,,,0.181631579,0.203655028,0.191853763,,,,
105,Document,Table,back,grind,pass,elevate,door,open,watch,stop,beginning,end,next,top,corridor,Shay,wrists,board,write,continue,last,,,,,,,0
,Table,1,0.25,0.07,0.06,0.11,0.15,0.12,0.19,0.15,0.14,0.19,0.28,0.23,0.09,0.03,0.04,0.24,0.04,0.1,0.26,0.144210526,0.144210526,,0.246315789,0.183888889,0.162941176,
,back,0.25,1,0.11,0.29,0.07,0.44,0.44,0.51,0.51,0.3,0.35,0.56,0.38,0.38,0.07,0.29,0.23,0.13,0.23,0.62,0.324210526,0.328333333,0.25,,,,
,grind,0.07,0.11,1,0.16,0.09,0.02,0.09,0.07,0.05,0.08,0.15,0.11,0.15,-0.02,0.04,-0.05,0.07,0.07,0.07,0.12,0.076315789,0.074705882,0.09,,,,
,pass,0.06,0.29,0.16,1,0.02,0.07,0.16,0.21,0.31,0.16,0.28,0.28,0.14,0.17,0.07,0.07,0.11,0.08,0.34,0.26,0.170526316,0.170625,0.17,,,,
,elevate,0.11,0.07,0.09,0.02,1,0.04,0.11,0.07,0.12,0.13,0.07,0.07,0.1,0.01,0.08,0.05,0.1,0.02,0.23,0.07,0.082105263,0.084666667,0.0725,,,,
,door,0.15,0.44,0.02,0.07,0.04,1,0.73,0.19,0.26,0.06,0.14,0.36,0.21,0.61,0,0.17,0.07,0.04,0.03,0.3,0.204736842,0.226428571,0.144,,,,
,open,0.12,0.44,0.09,0.16,0.11,0.73,1,0.32,0.32,0.22,0.33,0.4,0.3,0.51,0.1,0.27,0.13,0.07,0.21,0.37,0.273684211,0.273076923,0.275,,,,
,watch,0.19,0.51,0.07,0.21,0.07,0.19,0.32,1,0.42,0.25,0.34,0.42,0.26,0.12,0.05,0.15,0.21,0.12,0.19,0.38,0.235263158,0.2425,0.222857143,,,,
,stop,0.15,0.51,0.05,0.31,0.12,0.26,0.32,0.42,1,0.23,0.24,0.43,0.25,0.18,0.07,0.08,0.19,0.15,0.29,0.35,0.242105263,0.223636364,0.2675,,,,
,beginning,0.14,0.3,0.08,0.16,0.13,0.06,0.22,0.25,0.23,1,0.54,0.43,0.23,0.16,0.06,0.09,0.16,0.27,0.43,0.5,0.233684211,0.287,0.174444444,,,,
